brand,type,miles,years,location,nowprice,preprice
威朗,2022款,1万公里,2021-09,福州,10.50,16.60万
别克GL8,2017款,7万公里,2018-04,沈阳,16.30,27.13万
普拉多(进口),2014款,9.6万公里,2014-09,沈阳,25.80,53.08万
Macan,2018款,4.2万公里,2019-01,南京,43.58,59.16万
捷豹XEL,2020款,3万公里,2021-01,广州,21.50,37.73万
沃尔沃S60,2021款,1.4万公里,2021-04,沈阳,17.80,36.45万
保时捷718,2016款,6.2万公里,2017-08,南京,41.58,63.83万
奔驰V级,2018款,6.5万公里,2019-05,南京,35.80,62.94万
奔驰C级,2017款,8.19万公里,2017-03,石家庄,16.50,34.17万
奔驰R级,2017款,7.4万公里,2018-01,北京,29.80,59.57万
雷克萨斯RX,2016款,5.3万公里,2019-02,石家庄,38.98,54.38万
奔驰E级,2021款,2万公里,2021-11,石家庄,47.50,54.15万
奔驰A级(进口),2019款,1.4万公里,2019-09,石家庄,17.20,29.72万
逍客,2017款,11.1万公里,2017-09,石家庄,7.88,18.32万
奔驰GLC,2017款,9.8万公里,2017-01,石家庄,22.38,42.98万
自由光,2016款,4.2万公里,2017-04,石家庄,9.18,28.20万
奔驰C级(进口),2020款,3.88万公里,2021-08,石家庄,29.98,42.64万
宝马4系,2020款,1.65万公里,2021-05,石家庄,28.60,39.06万
奔驰A级,2021款,0.26万公里,2021-12,石家庄,19.60,27.12万
哈弗H6,2018款,8.8万公里,2018-10,石家庄,6.00,14.65万
奔驰CLS,2020款,3.8万公里,2020-07,石家庄,46.18,74.01万
Cayenne,2019款,6.5万公里,2020-05,南京,79.80,99.10万
途乐,2018款,6.6万公里,2017-11,南京,30.80,
Panamera,2014款,8.7万公里,2015-11,南京,53.80,179.97万
雷克萨斯ES,2018款,3.8万公里,2018-10,南京,22.80,30.28万
锐界(进口),2012款,15.07万公里,2013-09,杭州,6.68,34.39万
冠道,2017款,6.3万公里,2019-02,武汉,16.88,27.55万
英朗,2018款,8万公里,2018-04,苏州,4.68,13.77万
宝马3系,2020款,2.1万公里,2020-01,昆明,27.66,39.50万
捷豹XEL,2018款,5万公里,2018-11,石家庄,15.50,34.71万
宝马X5(进口),2019款,4.3万公里,2019-05,南京,64.80,92.25万
宝马X5(进口),2019款,7万公里,2019-06,南京,57.80,82.48万
牧马人,2021款,0.4万公里,2022-06,南京,59.80,60.78万
一汽-大众CC,2016款,7万公里,2016-06,青岛,10.88,30.81万
宝马X3,2019款,5.3万公里,2019-04,广州,31.50,52.08万
奥迪A4L,2019款,5万公里,2020-01,广州,21.30,36.45万
宝马3系,2019款,3.7万公里,2018-12,上海,,已降2.5万
福美来MPV,2017款,3万公里,2018-02,贵阳,,已降2200元
奔驰GLK级,2014款,9万公里,2015-10,贵阳,15.60,41.03万
奔驰GLK级(进口),2011款,9万公里,2011-01,贵阳,10.80,67.08万
奔驰A级AMG,2019款,1.1万公里,2020-04,北京,30.80,45.57万
奔驰E级,2022款,0.1万公里,2022-07,北京,48.80,54.15万
奔驰C级,2019款,2.29万公里,2019-10,深圳,20.80,33.74万
奔驰E级,2020款,6.2万公里,2020-05,扬州,40.88,54.25万
宝马3系,2014款,14万公里,2014-08,东莞,12.68,38.95万
奔驰C级,2017款,4.2万公里,2017-05,深圳,18.90,34.17万
奔驰GLS,2021款,1.5万公里,2021-08,东莞,116.80,144.04万
宝马8系,2019款,1.1万公里,2019-11,合肥,71.88,105.07万
宝马7系,2019款,2.9万公里,2020-07,合肥,79.88,130.04万
保时捷911,2020款,2.9万公里,2020-05,合肥,132.88,137.31万
总裁,2017款,4.7万公里,2018-09,合肥,69.88,164.98万
揽境,2022款,0.2万公里,2021-06,漳州,27.98,37.22万
探岳,2021款,0.35万公里,2021-03,漳州,18.98,27.13万
奥迪Q3,2016款,6万公里,2016-04,贵阳,12.98,30.31万
福克斯,2017款,6万公里,2017-04,贵阳,6.20,15.07万
夏朗,2013款,7万公里,2014-01,贵阳,9.80,31.44万
Polo,2016款,5.2万公里,2016-11,苏州,5.60,11.28万
宝马5系,2014款,9万公里,2014-04,贵阳,18.20,54.23万
宝马3系GT,2018款,3.9万公里,2018-07,西安,23.50,45.57万
Panamera,2019款,5.7万公里,2019-06,东莞,91.80,105.62万
Cayenne,2019款,1.2万公里,2022-03,苏州,111.80,108.33万
宝马X5(进口),2021款,2.9万公里,2021-10,东莞,75.80,90.63万
宝马7系,2021款,0.38万公里,2022-09,东莞,79.80,101.82万
奥德赛,2018款,6万公里,2019-06,南宁,18.50,28.96万
奔驰C级,2021款,1.7万公里,2021-09,南宁,26.58,34.71万
奥迪Q5,2011款,18万公里,2011-06,南宁,6.68,46.00万
睿翼,2011款,10万公里,2011-12,南宁,3.88,19.52万
Panamera新能源,2022款,1.2万公里,2022-04,苏州,141.90,126.78万
凌渡,2022款,0.12万公里,2022-03,长沙,16.98,20.72万
宝马X1,2021款,1.1万公里,2021-09,北京,19.58,30.37万
福特F-150,2019款,3.7万公里,2020-12,沈阳,,已降1万
普瑞维亚,2004款,11万公里,2004-07,上海,15.80,46.68万
长安欧尚X5,2021款,1.5万公里,2020-12,上海,4.00,8.89万
捷豹XFL,2021款,0.83万公里,2022-09,西安,31.90,49.58万
埃尔法,2018款,4.58万公里,2018-04,西安,92.30,93.78万
奥迪A8,2012款,8.59万公里,2012-11,西安,48.90,271.15万
揽胜,2021款,1.04万公里,2021-02,西安,142.90,170.74万
凯迪拉克CT4,2021款,1.2万公里,2021-06,枣庄,16.20,26.02万
奥迪A4L,2016款,8万公里,2016-08,贵阳,14.60,31.47万
威朗,2022款,0.47万公里,2021-09,苏州,10.58,17.25万
明锐,2013款,13万公里,2013-03,苏州,3.68,15.15万
Macan,2014款,9万公里,2015-06,苏州,28.80,74.68万
宝马5系,2020款,3.9万公里,2020-05,合肥,37.90,50.68万
奥迪A6L新能源,2020款,3.2万公里,2021-01,郑州,36.58,55.14万
奥迪A7,2019款,3.2万公里,2018-12,郑州,55.00,93.33万
奥迪Q3,2022款,0.01万公里,2022-09,郑州,21.98,30.26万
捷豹XJ,2014款,11万公里,2014-01,枣庄,16.50,97.48万
宝马4系,2017款,3.1万公里,2019-01,南京,30.98,49.91万
英朗,2013款,6.2万公里,2013-12,上海,2.60,15.73万
科鲁兹,2014款,7.3万公里,2014-09,上海,2.85,14.17万
创酷,2016款,5.8万公里,2017-10,上海,4.20,13.23万
普拉多,2016款,6万公里,2017-12,南京,29.98,42.31万
宝马5系,2021款,2.9万公里,2021-10,上海,39.98,50.68万
宝马X5(进口),2020款,2.35万公里,2020-08,西安,70.40,92.25万
奔驰C级,2022款,0.49万公里,2021-11,西安,29.50,35.30万
迈巴赫S级,2020款,2.8万公里,2020-04,西安,122.90,151.84万
古思特,2021款,0.33万公里,2021-08,上海,528.00,593.75万
Panamera,2022款,0.75万公里,2022-02,常州,145.80,126.78万
奔驰G级,2022款,0.3万公里,2022-03,北京,235.00,205.37万
保时捷718,2018款,0.68万公里,未上牌,合肥,83.80,97.15万
宝马3系,2013款,11万公里,2013-08,贵阳,12.80,43.64万
宝马7系,2016款,8.8万公里,2016-11,深圳,35.80,97.48万
马自达6,2013款,10万公里,2013-06,南宁,4.98,17.35万
奔驰S级,2022款,0.01万公里,2022-11,天津,125.80,138.81万
皇冠,2010款,14万公里,2010-04,广州,9.80,36.56万
MINI,2018款,5.9万公里,2018-10,广州,14.98,24.73万
理想ONE,2021款,1.1万公里,2022-01,广州,29.60,37.97万
飞驰,2020款,1.9万公里,2020-05,上海,308.00,332.81万
宝马5系(进口),2018款,4.59万公里,2019-01,西安,30.68,46.66万
奥迪A3,2019款,2.2万公里,2019-03,西安,13.80,24.61万
Panamera,2017款,1.5万公里,2019-05,深圳,113.80,165.86万
欧陆,2012款,4.5万公里,2011-08,上海,95.80,464.58万
逸动,2015款,7万公里,2016-10,佛山,2.88,10.52万
奥迪A6(进口),2017款,7.3万公里,2018-05,上海,27.38,49.37万
奥迪Q8,2019款,7万公里,2020-08,上海,53.88,83.45万
奥迪A6L,2022款,0.01万公里,2022-09,上海,36.80,45.57万
亚洲龙,2019款,1.5万公里,2021-04,临沂,17.98,23.64万
雷克萨斯GX,2015款,5万公里,2017-04,大连,67.80,92.05万
途昂,2017款,3.8万公里,2019-01,大连,23.50,40.04万
雅阁,2018款,0.5万公里,2021-06,临沂,16.98,20.60万
奥迪A4L,2020款,1.7万公里,2021-07,临沂,24.68,34.60万
奥迪A3,2019款,1.9万公里,2020-01,临沂,12.68,21.12万
揽境,2021款,0.37万公里,2021-06,临沂,27.80,37.22万
别克GL8,2023款,0.02万公里,2022-10,临沂,31.90,34.51万
途乐,2018款,5.4万公里,2019-10,临沂,35.58,60.57万
本田CR-V,2021款,0.5万公里,2022-01,临沂,17.98,21.25万
宝马X1,2021款,1.1万公里,2022-01,临沂,22.58,33.63万
沃尔沃XC60,2022款,1.9万公里,2021-08,临沂,28.20,43.08万
奇骏,2021款,4.2万公里,2021-05,临沂,14.98,22.01万
宝马3系,2021款,1.6万公里,2020-12,临沂,26.88,34.62万
奔驰V级,2017款,3万公里,2020-12,临沂,47.78,66.54万
宝马6系GT,2018款,6万公里,2018-05,绍兴,35.98,74.89万
Boxster,2015款,4.5万公里,2016-06,南京,39.80,81.08万
Cayenne,2019款,3万公里,2019-10,杭州,79.80,99.10万
宝马1系,2021款,0.6万公里,2022-05,合肥,16.30,26.79万
奔驰CLA,2022款,0.42万公里,2022-04,北京,40.50,41.01万
奔驰CLA,2020款,2.5万公里,2020-11,广州,26.80,32.54万
Panamera新能源,2021款,1.4万公里,2021-07,广州,140.80,141.65万
保时捷718,2020款,2.5万公里,2021-03,广州,78.60,86.51万
轩逸,2012款,8万公里,2015-06,佛山,2.88,10.83万
宝马5系,2019款,6.2万公里,2019-03,广州,36.80,55.02万
奔驰M级,2013款,9万公里,2013-05,深圳,21.80,
埃尔法,2018款,9万公里,2019-03,深圳,93.80,83.80万
宝马3系,2020款,1.7万公里,2020-01,深圳,29.80,39.50万
奔驰E级,2022款,1.2万公里,2021-12,厦门,47.80,54.15万
宝马i3(进口),2019款,4.97万公里,2019-12,深圳,16.88,36.88万
宝马X1,2019款,5.4万公里,2019-03,合肥,14.90,32.22万
凯迪拉克CT6,2021款,1.7万公里,2021-06,合肥,26.80,46.64万
发现运动版,2022款,1.4万公里,2022-03,合肥,25.90,41.55万
雷克萨斯ES,2021款,1.7万公里,2021-06,合肥,31.90,38.09万
宝马X3,2022款,0.4万公里,2021-09,合肥,39.70,51.65万
Macan,2021款,1.58万公里,2021-04,广州,55.80,67.19万
AION,S,0.02万公里,2022-10,深圳,13.88,17.78万
奥迪A6L,2018款,5.45万公里,2018-11,合肥,24.60,43.72万
红旗H7,2021款,3万公里,2021-05,金华,13.90,27.44万
奥迪A3,2017款,6万公里,2017-07,无锡,12.98,25.89万
奔驰GLE,2021款,0.9万公里,2021-03,厦门,84.80,96.59万
奥迪A3,2018款,5万公里,2018-03,无锡,12.88,25.37万
皇冠,2018款,7.9万公里,2018-03,惠州,19.98,30.37万
速腾,2021款,1万公里,2021-02,石家庄,11.98,17.68万
奔驰C级(进口),2017款,8.5万公里,2017-06,苏州,22.00,41.55万
卡罗拉,2019款,3万公里,2020-05,石家庄,8.98,13.87万
高尔夫,2019款,4万公里,2019-01,石家庄,10.98,17.93万
哈弗H6,2021款,2.5万公里,2021-03,石家庄,8.88,13.13万
高尔夫,2020款,3万公里,2020-06,石家庄,11.28,16.74万
迈腾GTE插电混动,2022款,0.01万公里,2022-06,石家庄,18.58,27.45万
宝马3系,2019款,7万公里,2019-01,深圳,19.98,34.39万
Taycan,2022款,0.12万公里,2022-06,苏州,86.80,96.39万
雷克萨斯RX,2016款,9万公里,2018-08,广州,34.00,50.37万
Urus,2022款,0.01万公里,2022-09,上海,359.00,357.90万
奥迪Q7,2011款,1万公里,2022-01,深圳,35.80,
宝马5系,2021款,3.1万公里,2020-10,沈阳,35.50,46.34万
Model,X,1.13万公里,2019-03,西安,55.60,86.19万
宝马5系新能源,2018款,5.72万公里,2018-07,西安,28.90,53.94万
领克01,2017款,6万公里,2019-02,青岛,11.27,19.08万
沃尔沃S60,2019款,4.7万公里,2020-01,青岛,14.97,27.12万
速腾,2021款,2万公里,2021-01,石家庄,11.98,17.68万
帕杰罗(进口),2014款,8.81万公里,2014-06,石家庄,16.98,49.17万
奥迪A6L,2018款,2万公里,2018-06,石家庄,24.68,45.35万
思域,2021款,0.9万公里,2021-03,石家庄,11.98,15.62万
奥迪A8,2021款,1.07万公里,2021-09,西安,66.90,91.48万
奔驰G级AMG,2020款,1.8万公里,2022-06,深圳,319.80,266.90万
克莱斯勒300C(进口),2014款,9万公里,2017-05,深圳,15.50,43.41万
奔驰C级,2017款,5.88万公里,2017-09,青岛,17.97,34.17万
奥迪Q3,2016款,4.3万公里,2016-05,青岛,13.57,32.98万
Model,Y,1.5万公里,2021-12,深圳,23.98,31.67万
奥迪A4L,2019款,2.1万公里,2019-11,青岛,21.77,36.45万
埃尔法,2018款,4万公里,2019-05,深圳,96.80,83.80万
MINI,2014款,6万公里,2014-12,深圳,15.50,33.11万
MINI,2012款,5万公里,2014-06,深圳,12.88,40.05万
发现,2018款,13万公里,2018-05,沈阳,39.80,82.28万
奔驰C级,2020款,1万公里,2020-11,沈阳,26.80,37.64万
奥迪A6L,2018款,4.6万公里,2019-01,青岛,25.57,43.72万
Cayman,2013款,7.2万公里,2014-09,广州,31.80,78.91万
奔驰S级,2014款,18万公里,2013-11,广州,37.58,162.60万
凯迪拉克ATS-L,2017款,5.8万公里,2018-01,上海,,已降9900元
Cayenne,2015款,8.5万公里,2016-05,南京,46.80,105.51万
奔驰E级(进口),2010款,14.5万公里,2010-08,阳江,8.28,52.97万
奔驰S级,2011款,10万公里,2013-06,深圳,58.80,237.50万
迈腾,2019款,10.4万公里,2018-11,石家庄,12.98,23.35万
奥迪Q5L,2021款,0.7万公里,2021-06,石家庄,32.88,45.13万
卡罗拉,2021款,3.1万公里,2020-11,南京,10.88,15.61万
Cayenne,2019款,3.9万公里,2020-03,深圳,85.80,99.10万
丰田C-HR,2018款,4万公里,2019-01,阳江,8.88,16.48万
埃尔法,2019款,6.5万公里,2019-07,深圳,89.80,92.92万
别克GL8,2022款,0.13万公里,2021-10,天津,42.50,51.01万
Macan,2017款,8.81万公里,2016-08,深圳,27.80,59.70万
思域,2016款,7万公里,2017-11,深圳,8.88,15.19万
英菲尼迪Q70,2017款,7万公里,2018-11,深圳,19.98,41.23万
途昂,2017款,6万公里,2017-09,深圳,22.30,47.64万
宝马5系,2022款,0.11万公里,2022-09,长沙,43.50,50.36万
奥迪Q7,2019款,11万公里,2019-01,昆明,40.56,84.86万
奥迪A6(进口),2020款,4.45万公里,2020-05,北京,47.20,60.87万
奥迪Q7,2020款,1.4万公里,未上牌,北京,61.80,85.62万
奥迪A4L,2020款,3.27万公里,2021-04,北京,24.80,37.32万
奥迪Q8,2021款,0.66万公里,2021-01,北京,62.80,83.45万
奥迪Q3,2022款,0.9万公里,2021-12,北京,21.80,33.19万
奥迪A4L,2018款,6.9万公里,2018-08,北京,18.50,37.22万
奥迪Q5,2016款,9.2万公里,2016-07,北京,16.80,46.41万
奥迪A6(进口),2021款,3.2万公里,2021-01,北京,49.50,61.85万
奥迪RS,4,1万公里,2021-02,北京,80.80,89.96万
奥迪A4(进口),2021款,0.7万公里,2021-03,北京,29.50,37.97万
奥迪A6L,2021款,2.4万公里,2021-04,北京,36.30,48.17万
奥迪A3,2021款,0.07万公里,2022-07,北京,17.90,24.94万
奥迪A6(进口),2020款,2.3万公里,2020-05,北京,49.80,60.87万
奥迪RS,4,0.53万公里,2021-12,北京,80.80,89.96万
Model,Y,0.15万公里,2022-10,北京,32.80,42.87万
奥迪RS,5,2万公里,2021-03,北京,78.80,90.83万
奥迪A3,2021款,0.06万公里,2022-06,北京,17.50,24.94万
保时捷718,2019款,0.6万公里,2021-07,南京,68.80,71.75万
保时捷718,2022款,0.5万公里,2022-04,南京,68.80,63.50万
奥迪A8,2011款,14万公里,2011-04,广州,15.38,100.73万
奥迪A6L,2020款,4.38万公里,2020-11,成都,36.98,55.01万
SAVANA,2018款,8万公里,2018-06,大连,49.80,236.63万
奔驰GLC,2021款,2.4万公里,2021-01,佛山,38.88,49.37万
Cayenne,2019款,1.9万公里,2021-01,南京,95.80,99.10万
Macan,2020款,2.2万公里,2020-08,台州,46.80,59.16万
宝马X3,2018款,5.28万公里,2019-05,长沙,29.88,46.22万
英朗,2021款,2.5万公里,2020-04,枣庄,6.20,13.67万
科鲁兹,2017款,11万公里,2017-06,苏州,5.68,13.56万
ID.4,CROZZ,1.45万公里,2021-11,长沙,18.98,25.77万
奥迪A6L,2021款,3.8万公里,2021-03,昆明,43.29,59.14万
奥迪A3,2021款,0.7万公里,2021-01,昆明,17.88,26.40万
别克GL8,2018款,0.3万公里,2020-03,淄博,19.38,25.28万
思域,2019款,3.5万公里,2021-04,深圳,10.88,15.19万
奔驰A级AMG,2019款,2.7万公里,2020-01,昆明,32.50,43.40万
马自达CX-4,2021款,0.9万公里,2021-06,昆明,13.50,18.43万
冠道,2017款,7.5万公里,2017-04,昆明,17.80,30.37万
奔驰E级,2019款,6万公里,2019-05,西安,35.90,53.49万
奔驰GLC,2017款,5.7万公里,2017-04,西安,25.90,52.97万
奔驰GLB,2021款,1万公里,2021-02,西安,23.89,35.69万
奔驰S级,2018款,9万公里,2018-06,济南,69.80,111.67万
奥迪A6L,2022款,2.6万公里,2021-01,天津,35.50,48.17万
奥迪S4,2018款,4.83万公里,2019-05,成都,35.50,49.91万
奔驰E级(进口),2019款,3.05万公里,2019-02,成都,29.98,49.26万
红旗HS7,2021款,1.72万公里,2021-04,成都,27.98,49.91万
奥迪Q7,2020款,1.29万公里,2022-07,成都,75.88,108.42万
奥迪A6L,2019款,4.81万公里,2019-12,成都,28.98,44.48万
奥迪e-tron(进口),2019款,1.04万公里,2020-01,成都,,已降2万
奥迪A4L,2016款,8.81万公里,2016-02,成都,,已降2万
奥迪A3,2016款,7.05万公里,2016-05,成都,,已降1.7万
凯迪拉克XTS,2018款,5.88万公里,2018-04,成都,15.60,34.72万
Model,Y,0.01万公里,2022-08,杭州,26.99,32.55万
奥迪A6L,2019款,6.7万公里,2019-10,杭州,30.80,47.09万
凯迪拉克XTS,2013款,12万公里,2013-11,广州,9.68,43.41万
宝马5系,2012款,15万公里,2012-03,广州,11.80,49.89万
揽胜,2016款,10.3万公里,2016-05,上海,71.50,169.12万
奥迪Q5L,2020款,3.7万公里,2020-06,成都,29.58,45.13万
飞驰,2017款,5.2万公里,2018-03,南宁,149.80,323.47万
起亚K5,2014款,7.7万公里,2015-01,石家庄,6.98,20.49万
奔驰E级,2021款,3万公里,2021-04,西安,37.50,49.15万
宝马5系,2014款,11.39万公里,2015-08,郑州,18.80,54.23万
奥迪A6L,2017款,6.4万公里,2017-03,南京,21.28,45.46万
MINI,2021款,2万公里,2021-06,南京,20.88,27.98万
思域,2021款,1万公里,2021-03,济南,12.60,18.12万
奥迪A6L,2020款,2.79万公里,2021-06,苏州,36.50,47.74万
沃尔沃S90,2021款,3.61万公里,2021-06,上海,24.28,44.17万
沃尔沃S90,2021款,3.2万公里,2021-06,上海,24.28,44.17万
沃尔沃S90,2021款,3.16万公里,2021-06,上海,24.28,44.17万
奔驰G级,2018款,2.3万公里,2018-10,北京,305.00,
奥迪Q3,2020款,3.5万公里,2020-05,深圳,17.50,31.13万
奥迪R8,2016款,1.9万公里,2020-04,合肥,159.88,249.64万
Huracán,2016款,2.5万公里,2017-03,合肥,222.88,296.12万
奥迪A7,2021款,2.9万公里,2021-01,合肥,51.88,66.52万
Taycan,2020款,1.9万公里,2021-04,合肥,83.88,96.39万
Panamera,2019款,3.9万公里,2019-10,合肥,106.88,130.91万
奔驰G级,2019款,5.1万公里,2019-01,合肥,193.88,169.20万
宝马X5新能源(进口),2022款,0.9万公里,2022-07,武汉,66.80,
欧陆,2012款,5.44万公里,2013-06,武汉,119.80,464.58万
宝马3系GT,2013款,7.4万公里,2015-06,武汉,15.80,48.30万
捷豹F-PACE,2016款,5万公里,2018-05,武汉,26.80,75.77万
揽胜星脉,2017款,7万公里,2018-04,武汉,34.80,74.68万
奔驰C级(进口),2016款,7万公里,2017-04,武汉,26.80,45.79万
奥迪Q5,2013款,9万公里,2015-01,武汉,14.98,46.41万
奥迪A4L,2013款,8万公里,2014-07,武汉,7.98,37.88万
埃尔法,2021款,4.2万公里,2021-08,北京,108.80,99.86万
奥迪S4,2020款,0.59万公里,2020-11,西安,43.80,50.89万
发现神行,2017款,7万公里,2017-09,武汉,16.80,44.29万
威朗,2022款,0.01万公里,2022-10,台州,9.90,15.19万
英朗,2013款,12.6万公里,2014-10,苏州,3.68,16.03万
揽胜,2017款,8.8万公里,2017-03,武汉,78.80,
Panamera,2014款,12.7万公里,2015-06,沈阳,57.80,191.15万
奥迪A6L,2019款,5.4万公里,2019-07,沈阳,33.50,50.34万
锐志,2009款,14.2万公里,2010-07,北京,6.85,24.84万
奥迪A4L,2020款,4.6万公里,2021-01,成都,25.88,37.32万
宝马5系,2018款,5.89万公里,2018-08,长沙,31.88,51.77万
宝马X5(进口),2019款,6.08万公里,2020-01,长沙,62.80,82.48万
宝马5系,2020款,4.38万公里,2020-08,沈阳,39.30,55.02万
牧马人,2022款,0.1万公里,未上牌,深圳,59.80,55.35万
奥迪A4L,2020款,2.8万公里,2021-01,厦门,24.68,34.60万
欧陆,2016款,0.7万公里,2018-06,北京,188.00,329.98万
欧陆,2018款,1.6万公里,2019-12,北京,298.00,339.54万
飞驰,2021款,0.4万公里,2021-10,北京,329.00,273.32万
欧陆,2018款,1.6万公里,2020-01,北京,306.00,339.54万
奔驰G级,2020款,2.2万公里,2021-09,北京,168.00,155.20万
宝马7系,2018款,4.9万公里,2018-07,沈阳,45.80,87.71万
揽境,2021款,1.5万公里,2021-09,沈阳,26.88,36.57万
奥迪Q5L,2020款,3.2万公里,2021-05,沈阳,27.90,42.09万
奔驰GLC,2020款,1.9万公里,2020-04,沈阳,35.50,45.89万
奔驰C级,2021款,0.94万公里,2021-03,沈阳,27.80,37.64万
宝马4系,2016款,5.3万公里,2016-09,青岛,20.88,52.97万
Model,Y,1万公里,2021-05,青岛,28.88,38.85万
保时捷718,2018款,3.7万公里,2019-03,南京,45.80,59.16万
途锐,2010款,8万公里,2011-01,沈阳,13.88,97.69万
奔驰R级,2011款,7万公里,2013-01,沈阳,13.88,79.02万
宝骏KiWi,EV,0.08万公里,2022-10,金华,8.58,11.16万
东南DX7,2017款,7万公里,2016-12,东莞,4.35,14.10万
宝马1系,2021款,0.78万公里,2022-01,合肥,14.10,22.34万
奔驰E级,2021款,2.7万公里,2021-01,广州,40.98,52.09万
奔驰C级,2019款,1.8万公里,2019-11,沈阳,25.50,37.64万
途观,2015款,6.83万公里,2015-02,合肥,8.70,34.28万
奥迪A4L,2019款,6万公里,2019-12,南京,19.38,31.13万
沃尔沃XC90,2019款,4.5万公里,2019-04,合肥,37.80,74.67万
Cayenne新能源,2020款,1.91万公里,2020-10,上海,81.80,100.19万
奔驰E级新能源,2022款,0.45万公里,2022-03,扬州,43.98,56.65万
Macan,2017款,7.2万公里,2018-06,合肥,34.90,59.70万
宝马X2(进口),2018款,7.05万公里,2018-10,合肥,15.30,34.93万
Panamera,2014款,1.7万公里,2014-11,合肥,58.80,135.14万
Macan,2020款,6.36万公里,2020-02,上海,53.80,70.66万
Macan,2020款,3.92万公里,2020-03,上海,48.80,59.16万
MINI,2017款,4.53万公里,2017-09,成都,17.18,34.82万
发现,2015款,8.4万公里,2016-04,赣州,49.80,
RAV4荣放,2013款,10万公里,2014-10,成都,8.95,26.03万
雷克萨斯IS,2017款,6.2万公里,2018-03,成都,20.75,32.35万
荣威RX5,2018款,6.37万公里,2017-01,上海,3.00,14.09万
凌渡,2021款,2万公里,2021-03,宁波,11.58,19.20万
艾力绅,2016款,8.6万公里,2018-05,南京,19.80,31.78万
普拉多,2018款,10.3万公里,2018-09,南京,46.60,54.25万
依维柯C型房车,2021款,1.2万公里,2022-01,南京,35.68,
荣威iMAX8,2021款,1.9万公里,2020-11,成都,17.60,27.55万
ID.6,X,1.44万公里,2021-09,成都,19.90,30.26万
探岳GTE插电混动,2020款,0.3万公里,2021-05,成都,16.75,27.12万
君威,2020款,0.2万公里,2021-09,淄博,13.68,21.36万
一汽-大众CC,2016款,8万公里,2017-04,昆明,12.50,30.81万
保时捷718,2018款,0.8万公里,2018-09,上海,54.80,61.33万
奥迪A6(进口),2020款,6万公里,2020-06,北京,42.99,60.87万
宝马5系,2019款,2.5万公里,2019-03,福州,33.68,55.02万
奥迪A7L,2022款,0.01万公里,2022-09,郑州,45.80,50.98万
奔驰B级,2020款,4.03万公里,2020-06,厦门,15.38,28.20万
奔驰S级,2020款,3.3万公里,2020-08,厦门,87.60,103.10万
奔驰E级,2022款,2.9万公里,2022-01,厦门,48.98,61.10万
Cayenne,2008款,13万公里,2008-07,大连,11.49,194.08万
飞度,2021款,1.5万公里,2021-08,武汉,7.58,9.42万
奔驰E级,2019款,4.7万公里,2019-01,郑州,36.80,53.49万
奔驰C级,2022款,0.6万公里,2021-10,临沂,29.00,35.30万
奔驰C级,2022款,0.8万公里,2021-10,厦门,28.88,35.30万
奔驰C级,2022款,0.75万公里,2021-09,厦门,29.88,35.30万
奔驰GLC,2021款,1.29万公里,2021-07,郑州,,已降5000元
宝马1系,2021款,1万公里,2021-05,郑州,14.98,22.34万
奥迪A6L,2021款,2万公里,2020-11,合肥,36.90,50.89万
别克GL8,2022款,0.25万公里,2021-09,合肥,42.80,51.01万
途锐,2019款,3.36万公里,2020-01,合肥,48.60,77.05万
奥迪A8,2021款,1.14万公里,2021-03,合肥,65.50,91.48万
宝马4系,2019款,1.03万公里,2020-05,合肥,28.60,39.06万
埃尔法,2020款,2.83万公里,2020-04,合肥,99.90,94.44万
宝马X5(进口),2019款,2.77万公里,2019-01,合肥,65.90,92.25万
宝马5系,2019款,7.8万公里,2019-06,成都,32.88,50.36万
思域,2019款,2.9万公里,2020-09,南京,11.28,15.19万
奔驰C级,2022款,0.76万公里,2021-11,徐州,35.68,40.08万
奔驰S级,2018款,5万公里,2020-04,上海,,已降2000元
奥迪A6L,2019款,3万公里,2019-08,北京,31.99,44.48万
Mustang,2019款,1万公里,2020-03,上海,,已降2000元
奥迪A6L,2022款,0.01万公里,2022-10,临沂,38.60,46.45万
V8,Vantage,3万公里,2012-06,上海,,已降2000元
奔驰E级,2022款,0.5万公里,2021-12,临沂,48.50,54.15万
雷克萨斯NX,2017款,13.53万公里,2018-05,广州,22.90,43.31万
奥迪A4L,2017款,8.48万公里,2017-03,北京,17.40,36.88万
发现神行,2016款,7.2万公里,2017-02,广州,17.38,50.80万
宝马5系,2013款,6.1万公里,2013-08,广州,15.86,53.69万
宝马3系,2013款,11.9万公里,2013-08,广州,13.88,45.16万
MINI,2021款,0.57万公里,2021-05,广州,21.38,27.98万
发现,2005款,13万公里,2009-03,大连,14.98,119.18万
君威,2021款,1.6万公里,2021-02,石家庄,12.68,20.49万
凯迪拉克XT6,2021款,2.71万公里,2021-04,合肥,30.80,45.88万
迈巴赫S级,2020款,4.77万公里,2020-01,合肥,122.00,151.84万
奔驰C级,2022款,0.5万公里,2021-11,临沂,29.60,35.30万
奔驰C级,2022款,0.3万公里,2022-06,临沂,29.60,35.30万
奔驰C级,2021款,1.6万公里,2021-05,合肥,26.20,34.71万
奔驰E级,2020款,6.3万公里,2020-01,合肥,31.60,46.65万
奔驰GLE轿跑,AMG,4万公里,2021-01,上海,86.50,111.67万
途乐,2018款,3万公里,2019-06,青岛,39.80,
领航员,2020款,0.2万公里,2022-07,北京,116.60,130.04万
