money,kind,usingTime,mile
med,low,small,low
low,low,small,low
low,low,small,low
vhigh,low,small,low
low,low,small,med
high,low,small,med
vhigh,low,small,low
high,low,small,med
med,low,small,low
high,low,small,low
high,low,med,med
vhigh,low,small,med
high,low,small,med
med,low,small,low
high,low,small,low
high,low,small,med
med,low,small,med
med,low,small,low
low,low,small,med
med,low,small,low
vhigh,low,small,med
med,low,med,med
high,low,small,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,low
low,low,small,med
low,low,small,low
low,low,small,med
low,low,small,low
low,low,small,low
low,low,small,low
low,low,med,low
low,low,small,low
low,low,small,med
low,low,small,med
low,low,small,low
low,low,small,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,low
low,low,small,low
low,low,big,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,small,low
low,low,big,med
low,low,small,low
low,low,small,low
low,low,small,low
low,low,med,med
low,low,small,low
low,low,small,low
low,low,small,low
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,med
low,low,small,low
low,low,small,med
low,low,med,low
low,low,med,med
low,low,med,med
low,low,med,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,low
low,low,small,low
low,low,small,low
low,low,small,low
low,low,small,med
low,low,small,med
low,low,med,med
low,low,small,med
low,low,small,low
low,low,med,low
low,low,small,low
low,low,med,med
low,low,big,med
low,low,big,med
low,low,med,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,low
low,low,small,low
low,low,small,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,big,med
low,low,med,med
low,low,med,med
low,low,small,med
low,low,med,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,low
low,low,med,low
low,low,big,med
low,low,med,low
low,low,big,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,low
low,low,small,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,big,med
low,low,small,low
low,low,med,low
low,low,small,low
low,low,med,med
low,low,med,low
low,low,small,low
low,low,med,med
low,low,med,low
low,low,med,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,big,med
low,low,med,med
low,low,med,low
low,low,big,med
low,low,med,low
low,low,med,low
low,low,med,low
low,low,small,low
low,low,small,low
low,low,med,low
low,low,med,low
low,low,big,high
low,low,med,med
low,low,small,med
low,low,med,med
low,low,med,low
low,low,med,low
low,low,med,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,med,med
low,low,big,med
low,low,med,low
low,low,med,low
low,low,big,med
low,low,med,low
low,low,med,low
low,low,med,low
low,low,med,low
low,low,med,low
low,low,med,low
low,low,big,med
low,low,big,med
low,low,small,med
low,low,med,low
low,low,small,low
low,low,small,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,low
low,low,med,low
med,low,small,low
low,low,med,med
low,low,small,med
low,low,small,low
low,low,med,med
low,low,med,low
low,low,small,med
low,low,med,low
low,low,big,med
low,low,med,med
low,low,big,low
low,low,med,low
low,low,med,low
low,low,med,low
low,low,med,med
low,low,med,med
low,low,big,med
low,low,small,low
low,low,med,med
low,low,small,med
low,low,med,med
low,low,small,med
low,low,small,low
low,low,big,med
low,low,med,med
low,low,small,low
low,low,small,low
low,low,med,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,med,med
low,low,big,med
low,low,big,med
low,low,med,med
low,low,big,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,big,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,big,med
low,low,med,low
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,big,low
low,low,small,low
low,low,small,low
low,low,big,high
low,low,small,med
low,low,med,med
low,low,med,med
low,low,med,low
low,low,small,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,low
low,low,small,low
low,low,small,low
low,low,med,low
low,low,big,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,small,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,big,low
low,low,med,med
low,low,small,low
low,low,big,high
low,low,small,med
low,low,small,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,small,low
low,low,med,low
low,low,small,low
low,low,med,med
low,low,med,high
low,low,small,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,big,med
low,low,med,med
low,low,med,low
low,low,med,low
low,low,med,med
low,low,med,med
low,low,med,low
low,low,med,med
low,low,big,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,low
low,low,med,med
low,low,med,high
low,low,small,med
low,low,small,low
low,low,small,low
low,low,small,low
low,low,small,low
low,low,small,low
low,low,med,med
low,low,small,low
low,low,small,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,small,med
low,low,small,low
low,low,small,med
low,low,small,low
low,low,small,med
low,low,small,med
low,low,big,low
low,low,small,med
low,low,med,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,low
low,low,small,low
low,low,med,med
low,low,big,med
low,low,med,med
low,low,med,med
low,low,med,low
low,low,small,med
low,low,med,med
low,low,small,med
low,low,small,med
low,low,small,low
low,low,small,med
low,low,small,med
low,low,med,low
low,low,small,med
low,low,small,low
low,low,small,low
low,low,med,med
low,low,big,med
low,low,big,med
low,low,big,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,med
low,low,small,med
low,low,small,med
low,low,small,med
low,low,small,med
low,low,small,med
low,low,small,med
low,low,small,med
low,low,small,low
low,low,small,med
low,low,small,low
low,low,small,med
low,low,small,low
low,low,small,low
low,low,med,med
low,low,big,med
low,low,big,med
low,low,small,med
low,low,med,med
low,low,small,med
low,low,med,med
low,low,small,med
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,med
low,low,small,med
low,low,small,low
low,low,small,low
low,low,small,med
low,low,small,low
low,low,small,low
low,low,med,med
low,low,small,med
low,low,small,med
low,low,big,med
low,low,med,low
low,low,med,med
low,low,big,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,big,low
low,low,small,low
low,low,small,low
low,low,small,low
low,low,med,low
low,low,med,med
low,low,small,low
low,low,big,med
low,low,med,med
low,low,small,med
low,low,med,low
low,low,med,med
low,low,med,high
low,low,med,med
low,low,big,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,med,med
low,low,big,med
low,low,big,med
low,low,med,med
low,low,med,med
low,low,med,high
low,low,big,med
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,med
low,low,small,low
low,low,big,high
low,low,med,low
low,low,med,med
low,low,med,med
low,low,big,med
low,low,med,low
low,low,small,low
low,low,small,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,low
low,low,med,med
low,low,small,low
low,low,med,med
low,low,small,med
low,low,med,med
low,low,med,med
low,low,big,med
low,low,med,med
low,low,small,low
low,low,big,med
low,low,small,low
low,low,med,med
low,low,med,low
low,low,med,med
low,low,med,med
low,low,small,low
low,low,med,med
low,low,med,low
low,low,med,med
